user_location,text
Utopia slums,"@PrettyAmmina The change to the new blue uniforms was ordered by President Uhuru Kenyatta in September 2019, as par… https://t.co/NEnbULE4xy"
Morayfield,I think it's now safe to say President Uhuru Kenyatta amepatia Justice Martha Koome CJ 😅 https://t.co/Q9YQMAy5HN
Nairobi ,"@_CrazyKenyan President Uhuru Kenyatta bribed MCAs, Mpigs and senators
So your are crucifying Dp Ruto for sinning differently
#bbinonsense"
Eldoret,"As @HonMoses_Kuria has just been saying,President Uhuru Kenyatta should finish and ago. Mt Kenya has new kingpins w… https://t.co/pcP10g77wf"
Eldoret,David Murathe the KEMSA thief and President Uhuru Kenyatta's advisor together with Rafael Tuju should get ready to… https://t.co/PWro5H4pAS
Eldoret,The Kenyan Senate despite having several elites still lacks Consistency when it comes to matters at hand.The propos… https://t.co/btzOqTyH3b
Eldoret,Somebody tell CS Peter Munya to die before 2022 if he is not ready to see DP Ruto as the 5th President of Kenya.Pre… https://t.co/pzpZV1YXZG
Nairobi ,"ICC called him Mr. Kenyatta for they did not recognize him as His Excellency.

Kenya Court called him Mr. Uhuru. He's not president."
Kenya,The leaders urged residents of the Central Region Economic Bloc (CEREB) to stay united behind His Excellency Presid… https://t.co/3VkkBXKwkv
Somaliland,"Three leaders of Horn of Africa👇
1. President Republic of Somaliland HE. MUSE BIHI ABDI
2. President Republic of Dj… https://t.co/5ZeBlG0oWs"
Kejani,"President Uhuru Kenyatta considered Kisii County to have the machine and the governor is grateful for that.
#KomeshaCorona"
Niarobi,"@ngunjiriwambugu Can someone help me to answer this
Is Uhuru Kenyatta a Kenyan? 
Or 
Is Uhuru Kenyatta is the president of Kenya only?"
Kejani,This latest move shows President Uhuru Kenyatta’s commitment to ensuring the unemployment levels in the country dro… https://t.co/aGuRjMcmZJ
,"@StateHouseKenya What u have done today my president Uhuru Kenyatta is very nice and good.
May God bless u and ur f… https://t.co/iAMpiNiXKw"
"Nairobi, Kenya",President Uhuru Kenyatta considered Kisii County to have the machine and the governor is grateful for that #KomeshaCorona
"Kilimani Ward, Nairobi, Kenya ",It's called using 'Cruise Control'. Well played President Uhuru Kenyatta 👏🏾 #BBIJudgement https://t.co/PH7K8BwNxC
Worldwide ,The PCR machine was procured through the national government and the World Bank funding and seventeen facilities be… https://t.co/xJRvQm6mvf
Kenya ,@Mohamed36888054 @Disembe Our  sitting President  should be addressed as His Excellency Honourable Uhuru Muigai Ken… https://t.co/vCbj4pWafc
Kenya,Lawyers have warned that the High Court’s finding that President Uhuru Kenyatta breached the constitution by initia… https://t.co/5PRlvnXalD
"Kiwambya, Kalongo, Uganda","A big thank you President Uhuru Kenyatta for being a great Àfrican leader. Keep the spirit , the future is bright.… https://t.co/EvZgmqKQmq"
,"@StateHouseKenya That is nice and good work u have done today, my president Uhuru Kenyatta.
May God bless u and ur… https://t.co/QRDnijUGgx"
Worldwide ,This latest move shows President Uhuru Kenyatta’s commitment to ensuring the unemployment levels in the country dro… https://t.co/qqPvu7kuyA
"Nairobi, Kenya",This latest move shows President Uhuru Kenyatta’s commitment to ensuring the unemployment levels in the country dro… https://t.co/tO0zNfKBJB
NBI,@taibalitaib @ahmednasirlaw @Kenyajudiciary If @WilliamsRuto sympathisers sponsored a court case whose judgement co… https://t.co/IvrrQsNRZj
Kenya,"#Somalia Prime Minsiter @MohamedHRoble with #Kenya's President Uhuru Kenyatta in #Djibouti 

The two leaders met in… https://t.co/TIAslJqsSU"
"Washington, DC","Join @USChamber for the first #ChamberGlobalForum May 18-19, where global leaders like H.E. President Uhuru Kenyatt… https://t.co/4aFRuootj1"
Somaliland,President Muse Biihi of #Somaliland and #Kenya’s President Uhuru Kenyatta at the inauguration ceremony of Djibouti’… https://t.co/gTtnZVpq1q
"Hargeysa, Somaliland",Somaliland president @musebiihi and his counter parts @IsmailOguelleh and Uhuru Kenyatta @StateHouseKenya. https://t.co/XAPAjoMG2A
"Mogdishu, Somalia",JUST IN : Somalia PM Mohamed Roble meets Kenya President Uhuru Kenyatta on the sidelines of the swearing in ceremon… https://t.co/haiTRgyTkI
"Kampala, Uganda",#Kenya President Uhuru Kenyatta with with #Somalia's Prime Minister @MohamedHRoble during a lucheon at the inaugura… https://t.co/KJnyiVNipl
Africa,#Djibouti: President Muse Biihi of Somaliland and Kenya’s President Uhuru Kenyatta spotted at the inauguration cere… https://t.co/9BnkyQiNhY
,"In a scathing ruling, five High Court judges in Kenya have blocked a government-backed plan to make fundamental cha… https://t.co/XlJXpsSIy4"
Africa,#Djibouti: President Uhuru Kenyatta earlier today arrived in Djibouti for President Guelleh's inauguration.… https://t.co/uiOXEJO0pZ
"Nairobi, Kenya",@NicholusCollin4 @BravinYuri Even in icc he was called mr uhuru muigai Kenyatta and he was the president by then
,I want to advise Uhuru Kenyatta @StateHouseKenya If he knows this Super Senetor he must be advisor of the president… https://t.co/5eVjiB4KMF
Nairobi|Kampala,#Kenya President Uhuru Kenyatta with with #Somalia's Prime Minister @MohamedHRoble during a lucheon at the inaugura… https://t.co/WWpCiramNe
Kenya,Francis Atwoli implores President Uhuru Kenyatta to crush the 5 judges who stopped reggae for their sinful judicial… https://t.co/vM9LkhmGWR
Somaliland,Somali PM Mohamed Hussein Roble and #Kenya's president Uhuru Kenyatta in #Djibouti during inauguration of president… https://t.co/dDGDtPN3Fy
Nairobi,President Kenyatta attends Guelleh’s inauguration in Djibouti: President Uhuru Kenyatta was on Saturday among sever… https://t.co/JmExjNtYtU
h̸e̸r̸e̸,"Yes, he's Mr. Uhuru Kenyatta mbicoz the one who wanted to rape our katiba is shameful to call him president! https://t.co/EhQgb866lY"
,"He joined JKUAT to undertake an Engineering course , which he joined until sometime in 2018 when he went to State H… https://t.co/4OVDlBBScb"
kenya,"And above All an eminent impeachment after the President Failed in Chapter 6,that he took oath to protect,This is w… https://t.co/hOiVjxyiAQ"
"Malinya, Kakamega, Kenya","National honors are reserved only for the most outstanding Kenyans. Dear President Uhuru Kenyatta, these are Wanjuk… https://t.co/YAhENn8GOA"
,President of Somaliland @musebiihi   Djibouti president @IsmailOguelleh and president Uhuru kenyatta are walking to… https://t.co/F9o9zvgvV8
"Somaliland, UK, North America","We like this photo.
President Muse Bihi alongside fellow Heads of State, Ismail Geelle of Djibouti &amp; Uhuru Kenyatta… https://t.co/CCHDc4d8I7"
"Nairobi, Kenya","Your favorite President Uhuru since he got into power ,the only success he has achieved;

1.Brookside is officially… https://t.co/GCW66EuY1l"
Republic of Somaliland,Horn of Africa's Diplomacy in Action. The Head of States of the Republic of Somaliland and the Republic of Kenya;… https://t.co/fx9QgZT46v
Nairobi ,"President Uhuru Kenyatta joins dignitaries, among them several visiting Heads of State at the Presidential Palace,… https://t.co/1j8A59BplE"
"Nairobi, Kenya",Which Kenyans cannot see and appreciate President Uhuru Kenyatta's milestone achievements still!? The blind and dum… https://t.co/3tXSlzQsUU
"Nairobi, Kenya","At The Hague, the ICC judges addressed President Uhuru Kenyatta as Mr. Kenyatta and it was deemed okay. https://t.co/B5IheNsJJj"
"Nairobi, KENYA",President Uhuru Kenyatta arrived in Djibouti inauguration of President I... https://t.co/QYXLRdP8Vp https://t.co/WvRiOmwHCw
United states of Africa,@DonaldBKipkorir I LOVE MY PRESIDENT UHURU KENYATTA @StateHouseKenya
"Homa Bay, Kenya",@kennethndungu71 @WaweruNjuru @ahmednasirlaw @JunetMohamed Some slaves are offended that the president was referred… https://t.co/bq9MuUIFuA
Kenya 🇰🇪 ,"@JimnahMbaru @WehliyeMohamed Our President Uhuru Kenyatta EGH CiCdfk, should do self soul searching. It's a sworn c… https://t.co/xNIbuFI5uP"
Kenya | Nairobi,President Uhuru Kenyatta today arrived in Djibouti to attend the inauguration of the country’s President Ismail Oma… https://t.co/BaWROZzyH4
"Nairobi, Kenya",May Kenyans wake up and support President Uhuru Kenyatta BUILD DAMS to control flooding and such👇 AVOIDABLE losses… https://t.co/YE7BNVvhK3
Kenya,Let`s us not praise him so much above there is no job opportunity for youth all in all Uhuru Kenyatta has done i kn… https://t.co/0UUSc2PHAA
Kenya,"President Uhuru Kenyatta: All grade 1 pupils will be given laptops

The pupils with their laptops 👇👇👇👇… https://t.co/EwjUNfBQ2A"
Kenya,"The only legacy President Uhuru Kenyatta can leave is curfew and lockdown. Nothing more!
#UhuruKwaGround https://t.co/VEb1a2SmIQ"
,H.E. President Uhuru Kenyatta today arrived in Djibouti for the Inauguration of H.E. President Ismail Omar Guelleh.… https://t.co/qJqORU3QwN
"Hargeisa, Somaliland",President Muse Bihii and Uhuru Kenyatta join Other Foreign leaders in Djibouti for Presidential inauguration. https://t.co/m9FjYoGzXh
"Nairobi, Kenya",@moscakenya this week the Return to Play Guidelines after President Uhuru Kenyatta allowed sport to resume on 1 May… https://t.co/lCcCFixEN7
"Hargeisa, Somaliland","Somaliland President @musebiihi (middle) and Kenya President, Uhuru Kenyatta (right) accompany Djibouti President… https://t.co/Ra43c1Y9zE"
,@DonaldBKipkorir President Uhuru Kenyatta fixing roads which are the main arteries through which our economy pulses… https://t.co/UFGolwRnbu
Nairobi Kenya Bungoman,"Uhuru Kenyatta has decided to pay bloggers or hii ni voluntary work,A president who doesn't care when Wanjiku is su… https://t.co/5oOTt3jF4p"
Kuala Lampur,PHOTOS: #Djibouti’s president Ismail Omar Guelleh has been sworn in for his fifth term in office today in a ceremon… https://t.co/1KqhyuELJS
"Nairobi, Kenya",President Uhuru Kenyatta has confirmed the appointment of Justice William Ouko as a Judge of the Supreme Court of K… https://t.co/9N813P3WcJ
"Nairobi, Kenya","President Uhuru Kenyatta sent a message of condolence to the family, relatives and friends of Public Service Commis… https://t.co/NtcjeGqmiF"
"Nairobi, Kenya",President @musebiihi of the Republic of #Somaliland and President Uhuru Kenyatta of #Kenya joined with other Africa… https://t.co/RWC7yF59cz
"Kakamega, Kenya","@DonaldBKipkorir @DonaldBKipkorir 
1.President Uhuru Kenyatta should put together the best legal brains in his camp… https://t.co/ETYjCvMoJc"
,My president @musebiihi  with Uhuru Kenyatta At @IsmailOguelleh  swearing ceremony in Djabouti https://t.co/AoFV0ZyC7Y
,Djibouti is a minute country with a size of the former Western Province but a certain tyrant called Guelleh has ema… https://t.co/qhKb3tenMB
"#Eastleigh, Nairobi ",The president of Somaliland @musebiihi join president Uhuru Kenyatta at the inauguration of Djibouti President… https://t.co/6dxLR6rhkL
